system,feature,feature_type,n_clusterA,n_clusterB,mean_clusterA,mean_clusterB,effect_size,effect_ci_low,effect_ci_high,p_value,fdr_q_value,significant_at_q05
body_composition,body_comp_total_right_total_mass,continuous,1304,1374,0.2070184262736266,-0.1964716359976785,-0.4106179088224546,-0.4490363299551136,-0.3772658913887548,4.008251381443658e-29,1.465516911340337e-28,True
body_composition,body_comp_android_tissue_mass,continuous,1304,1374,0.1917635742437159,-0.1819939598353769,-0.3942973425473424,-0.4278718320447139,-0.3606021005880536,1.725774264733496e-28,6.118654211327849e-28,True
body_composition,body_comp_total_left_total_mass,continuous,1304,1374,0.2059236838351449,-0.1954326664636304,-0.4063258523686265,-0.4442349910353483,-0.3727129643400565,1.8983091720854037e-28,6.5324168568821235e-28,True
body_composition,body_comp_android_total_mass,continuous,1304,1374,0.1909704253703501,-0.1812412188376534,-0.3930270499702273,-0.4355547994547046,-0.3515358045429957,2.401761971852955e-28,8.028747163051307e-28,True
body_composition,total_scan_vat_area,continuous,1294,1351,0.1551804262486459,-0.1486332135941877,-0.3089165653137161,-0.3371500399758282,-0.2771824273073243,1.508304760792912e-23,4.901990472576964e-23,True
body_composition,total_scan_vat_volume,continuous,1294,1351,0.1529464298687509,-0.1464934716877598,-0.3068375286921875,-0.3368737704196004,-0.2768855441294384,1.6167242131127614e-23,5.11234413335657e-23,True
body_composition,body_comp_trunk_tissue_mass,continuous,1304,1374,0.1620977550821881,-0.1538394997286572,-0.3301893880503899,-0.3651533542752087,-0.2955249821331098,1.0330003123109468e-19,3.1805535931679153e-19,True
body_composition,body_comp_arm_right_lean_mass,continuous,1304,1374,-0.1784259909528458,0.1693358749654374,0.3302797744063382,0.2941927686136985,0.3655895822444435,1.611116222833621e-19,4.833348668500863e-19,True
body_composition,body_comp_trunk_left_lean_mass,continuous,1304,1374,-0.1772345092056711,0.168205094617319,0.3452354376566044,0.3078125505750438,0.3825654693942172,2.856941957076493e-19,8.356555224448741e-19,True
body_composition,body_comp_trunk_right_tissue_mass,continuous,1304,1374,0.1617682037665513,-0.1535267377813556,-0.3248706955576048,-0.359886359688202,-0.289817722681861,3.2839933089908093e-19,9.37139554029085e-19,True
body_composition,body_comp_trunk_lean_mass,continuous,1304,1374,-0.176874858817934,0.1678637670295376,0.3454409158979666,0.307831071202319,0.3825859338071515,3.69789300170602e-19,1.0061708865107077e-18,True
body_composition,body_comp_trunk_total_mass,continuous,1304,1374,0.1596896298362942,-0.1515540591750566,-0.3274319308781667,-0.3602225005550125,-0.2893216767041081,3.637278659598269e-19,1.0061708865107077e-18,True
body_composition,body_comp_arm_right_fat_free_mass,continuous,1304,1374,-0.1756829922475689,0.1667326214634872,0.3248490795147498,0.2896490469161548,0.3604696066895779,6.299650507773925e-19,1.6751343395671571e-18,True
body_composition,body_comp_trunk_right_total_mass,continuous,1304,1374,0.1594379925115725,-0.1513152418013755,-0.3230557946421056,-0.3564624584836829,-0.2879277191127805,1.0295248293462497e-18,2.6767645563002493e-18,True
body_composition,body_comp_trunk_left_tissue_mass,continuous,1304,1374,0.1578346176948441,-0.149793552746782,-0.3234277360062811,-0.3586954432284629,-0.2876061544727147,1.1211455830993256e-18,2.851609417883068e-18,True
body_composition,body_comp_arm_left_tissue_mass,continuous,1304,1374,0.1562450751383199,-0.1482849912520884,-0.3101696618874033,-0.3443239535333195,-0.2767806547903728,1.1645128917886138e-18,2.8988937944525065e-18,True
body_composition,body_comp_trunk_left_fat_free_mass,continuous,1304,1374,-0.1737535525884984,0.1649014793125193,0.3392355901546167,0.3016212383345801,0.3765852864726946,1.1996011272686561e-18,2.924027747717349e-18,True
body_composition,body_comp_arms_lean_mass,continuous,1304,1374,-0.1703792996797512,0.1616991315737947,0.3155011026763759,0.2806449910090705,0.350928066985166,1.636304212886205e-18,3.907093732809918e-18,True
body_composition,body_comp_trunk_fat_free_mass,continuous,1304,1374,-0.172938209627168,0.1641276749300068,0.3376340044623663,0.3003107524476049,0.374975925789661,1.864164156245411e-18,4.362144125614263e-18,True
body_composition,body_comp_trunk_left_total_mass,continuous,1304,1374,0.1555646333413309,-0.1476392153399542,-0.322721936902256,-0.3569894794482064,-0.2824016153154035,3.3800063417547135e-18,7.754132195790225e-18,True
body_composition,body_comp_arms_fat_free_mass,continuous,1304,1374,-0.1676535664346903,0.1591122639234624,0.310191666569392,0.2750442655045833,0.3453887980255573,6.349772225491354e-18,1.428698750735555e-17,True
body_composition,body_comp_arm_left_total_mass,continuous,1304,1374,0.1523375472091351,-0.1445765367981896,-0.3146382910385142,-0.3376153242644085,-0.2744733692708926,1.093223736618396e-17,2.413342965742497e-17,True
